"period","season","speccode","grid","island","resolution","n_tenkms","status"
"1968-72","B",1,"HP40","B",10,1,"Confirmed"
"1968-72","B",1,"HP50","B",10,1,"Confirmed"
"1968-72","B",1,"HP51","B",10,1,"Confirmed"
"1968-72","B",1,"HP60","B",10,1,"Confirmed"
"1968-72","B",1,"HP61","B",10,1,"Confirmed"
"1968-72","B",1,"HT93","B",10,1,"Confirmed"
"1968-72","B",1,"HT94","B",10,1,"Confirmed"
"1968-72","B",1,"HU14","B",10,1,"Probable"
"1968-72","B",1,"HU15","B",10,1,"Confirmed"
"1968-72","B",1,"HU16","B",10,1,"Confirmed"
"1968-72","B",1,"HU24","B",10,1,"Confirmed"
"1968-72","B",1,"HU25","B",10,1,"Confirmed"
"1968-72","B",1,"HU26","B",10,1,"Confirmed"
"1968-72","B",1,"HU27","B",10,1,"Confirmed"
"1968-72","B",1,"HU28","B",10,1,"Confirmed"
"1968-72","B",1,"HU31","B",10,1,"Possible"
"1968-72","B",1,"HU32","B",10,1,"Probable"
"1968-72","B",1,"HU33","B",10,1,"Probable"
"1968-72","B",1,"HU34","B",10,1,"Confirmed"
"1968-72","B",1,"HU35","B",10,1,"Confirmed"
"1968-72","B",1,"HU36","B",10,1,"Confirmed"
"1968-72","B",1,"HU37","B",10,1,"Confirmed"
"1968-72","B",1,"HU38","B",10,1,"Confirmed"
"1968-72","B",1,"HU39","B",10,1,"Confirmed"
"1968-72","B",1,"HU41","B",10,1,"Confirmed"
"1968-72","B",1,"HU42","B",10,1,"Confirmed"
"1968-72","B",1,"HU43","B",10,1,"Confirmed"
"1968-72","B",1,"HU44","B",10,1,"Confirmed"
"1968-72","B",1,"HU45","B",10,1,"Confirmed"
"1968-72","B",1,"HU46","B",10,1,"Confirmed"
"1968-72","B",1,"HU47","B",10,1,"Confirmed"
"1968-72","B",1,"HU48","B",10,1,"Confirmed"
"1968-72","B",1,"HU49","B",10,1,"Confirmed"
"1968-72","B",1,"HU53","B",10,1,"Confirmed"
"1968-72","B",1,"HU54","B",10,1,"Confirmed"
"1968-72","B",1,"HU55","B",10,1,"Possible"
"1968-72","B",1,"HU56","B",10,1,"Confirmed"
"1968-72","B",1,"HU57","B",10,1,"Confirmed"
"1968-72","B",1,"HU58","B",10,1,"Confirmed"
"1968-72","B",1,"HU59","B",10,1,"Confirmed"
"1968-72","B",1,"HU68","B",10,1,"Confirmed"
"1968-72","B",1,"HU69","B",10,1,"Confirmed"
"1968-72","B",1,"HY10","B",10,1,"Confirmed"
"1968-72","B",1,"HY20","B",10,1,"Confirmed"
"1968-72","B",1,"HY22","B",10,1,"Confirmed"
"1968-72","B",1,"HY30","B",10,1,"Confirmed"
"1968-72","B",1,"HY31","B",10,1,"Confirmed"
"1968-72","B",1,"HY32","B",10,1,"Confirmed"
"1968-72","B",1,"HY33","B",10,1,"Confirmed"
"1968-72","B",1,"HY40","B",10,1,"Confirmed"
"1968-72","B",1,"HY42","B",10,1,"Probable"
"1968-72","B",1,"HY43","B",10,1,"Confirmed"
"1968-72","B",1,"HY50","B",10,1,"Confirmed"
"1968-72","B",1,"HY53","B",10,1,"Confirmed"
"1968-72","B",1,"HY62","B",10,1,"Confirmed"
"1968-72","B",1,"NA91","B",10,1,"Confirmed"
"1968-72","B",1,"NB01","B",10,1,"Confirmed"
"1968-72","B",1,"NB02","B",10,1,"Probable"
"1968-72","B",1,"NB03","B",10,1,"Possible"
"1968-72","B",1,"NB10","B",10,1,"Confirmed"
"1968-72","B",1,"NB11","B",10,1,"Confirmed"
"1968-72","B",1,"NB12","B",10,1,"Confirmed"
"1968-72","B",1,"NB13","B",10,1,"Possible"
"1968-72","B",1,"NB20","B",10,1,"Possible"
"1968-72","B",1,"NB21","B",10,1,"Possible"
"1968-72","B",1,"NB22","B",10,1,"Confirmed"
"1968-72","B",1,"NB23","B",10,1,"Confirmed"
"1968-72","B",1,"NB24","B",10,1,"Confirmed"
"1968-72","B",1,"NB30","B",10,1,"Confirmed"
"1968-72","B",1,"NB31","B",10,1,"Confirmed"
"1968-72","B",1,"NB33","B",10,1,"Confirmed"
"1968-72","B",1,"NB43","B",10,1,"Possible"
"1968-72","B",1,"NB44","B",10,1,"Confirmed"
"1968-72","B",1,"NB45","B",10,1,"Possible"
"1968-72","B",1,"NB54","B",10,1,"Confirmed"
"1968-72","B",1,"NB55","B",10,1,"Confirmed"
"1968-72","B",1,"NB56","B",10,1,"Possible"
"1968-72","B",1,"NB91","B",10,1,"Possible"
"1968-72","B",1,"NC01","B",10,1,"Confirmed"
"1968-72","B",1,"NC02","B",10,1,"Confirmed"
"1968-72","B",1,"NC03","B",10,1,"Possible"
"1968-72","B",1,"NC10","B",10,1,"Confirmed"
"1968-72","B",1,"NC11","B",10,1,"Confirmed"
"1968-72","B",1,"NC12","B",10,1,"Confirmed"
"1968-72","B",1,"NC13","B",10,1,"Confirmed"
"1968-72","B",1,"NC14","B",10,1,"Confirmed"
"1968-72","B",1,"NC15","B",10,1,"Confirmed"
"1968-72","B",1,"NC21","B",10,1,"Confirmed"
"1968-72","B",1,"NC22","B",10,1,"Probable"
"1968-72","B",1,"NC23","B",10,1,"Confirmed"
"1968-72","B",1,"NC24","B",10,1,"Confirmed"
"1968-72","B",1,"NC25","B",10,1,"Confirmed"
"1968-72","B",1,"NC26","B",10,1,"Probable"
"1968-72","B",1,"NC27","B",10,1,"Confirmed"
"1968-72","B",1,"NC30","B",10,1,"Probable"
"1968-72","B",1,"NC32","B",10,1,"Confirmed"
"1968-72","B",1,"NC33","B",10,1,"Probable"
"1968-72","B",1,"NC34","B",10,1,"Probable"
"1968-72","B",1,"NC35","B",10,1,"Probable"
"1968-72","B",1,"NC36","B",10,1,"Confirmed"
"1968-72","B",1,"NC40","B",10,1,"Possible"
"1968-72","B",1,"NC41","B",10,1,"Confirmed"
"1968-72","B",1,"NC42","B",10,1,"Confirmed"
"1968-72","B",1,"NC45","B",10,1,"Possible"
"1968-72","B",1,"NC46","B",10,1,"Confirmed"
"1968-72","B",1,"NC50","B",10,1,"Probable"
"1968-72","B",1,"NC51","B",10,1,"Confirmed"
"1968-72","B",1,"NC52","B",10,1,"Confirmed"
"1968-72","B",1,"NC53","B",10,1,"Confirmed"
"1968-72","B",1,"NC54","B",10,1,"Confirmed"
"1968-72","B",1,"NC55","B",10,1,"Confirmed"
"1968-72","B",1,"NC56","B",10,1,"Confirmed"
"1968-72","B",1,"NC61","B",10,1,"Confirmed"
"1968-72","B",1,"NC62","B",10,1,"Confirmed"
"1968-72","B",1,"NC63","B",10,1,"Confirmed"
"1968-72","B",1,"NC64","B",10,1,"Confirmed"
